Decade,ID,Name,Location,lat,lng,Start Year,End Year,ImageUrl,Url,Hotttnesss,HotttnessRank,Primary_Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10,Genre11,Genre12,Familiarity,FamiliarityRank,Discovery,DiscoveryRank,Similar1ID,Similar1ID,Similar1Name,Similar2ID,Similar2Name,Similar3ID,Similar3Name
1840-1850,ARHPMTT11E2835D684,Mormon Tabernacle Choir,"Salt Lake City, Utah",-111.891,40.7608,1847,2050,b519b746dd6b62f4b42a5881fd591c9e04b853b3.jpg,http://www.mormontabernaclechoir.org/,0.641852,2970,lds,christian christmas,,,,,,,,,,,0.483986,13204,0.546780793,3238,,ARGTEKB1187B9B7A65,Michael Mclean,ARKFUGK1187B9AC8EA,Kenneth Cope,AR4X76R1187FB42D41,Jenny Phillips
1840-1850,ARZCCGX11F4C83D6DE,Tomaso Albinoni,"Venice, Italy",12.3309,45.4389,1694,1751,d13868304b903ced2371bc14d5e05240a43cf1c2.jpg,http://www.myspace.com/tomasoalbinoni,0.622895,3765,classical,baroque,romantic,,,,,,,,,,0.425689,28276,0.575646063,2000,,ARANBBZ11F50C4AABA,Albinoni,ARF88YF1187FB5C95D,Tomaso Giovanni Albinoni,ARDI1X71187B9AED85,Antonio Vivaldi
1840-1850,AR8KUJL1187FB46AD6,Franz Liszt,"Raiding, Austria",16.5303,47.5562,1823,1886,a13888f83f05b60b04c5ac5d34486b4afb8e0557.jpg,http://en.wikipedia.org/wiki/Franz_Liszt,0.622255,3803,romantic,classical,classical christmas,,,,,,,,,,0.646777,1585,0.410760754,102512,,ARWSRGX1187B9A00B5,Franz Schubert,ARPSZEW1187FB48350,Camille Saint-Saens,ARMCO231187FB36036,Johannes Brahms
1840-1850,AR8UYYT1187FB36431,Christoph Willibald Gluck,"Berching, Germany",11.4414,49.1069,1737,1787,ccf504aaea0388d64976b3dab0ab2e9f4f97b98d.jpg,http://www.myspace.com/christophwillibaldvongluck,0.611185,4550,baroque,classical christmas,classical period,classical,romantic,,,,,,,,0.564049,4893,0.462491468,36821,,AROO8NE1187FB49630,Luigi Boccherini,ARWEAFP12DA0D160D2,GLUCK,AR9HW5Q1187FB37C02,Giovanni Battista Pergolesi
1840-1850,AR86HR51187FB5BECF,Johann Pachelbel,"Nuremberg, Germany",11.0775,49.4542,1672,1706,27e8994ea4dbea61f8e07835fc362e73553e52ec.jpg,http://en.wikipedia.org/wiki/johann_pachelbel,0.60363,5229,classical christmas,baroque,classical,romantic,,,,,,,,,0.577793,4067,0.447069262,53088,,AR6N6EP1187B9B37CB,Georg Philipp Telemann,ARDI1X71187B9AED85,Antonio Vivaldi,ARSPLZD11F4C83BC8C,Franz Joseph Haydn
1840-1850,ARRKD8Q1187FB49555,Felix Mendelssohn,"Berlin, Germany",13.383151,52.494546,1819,1847,26c5589f0d075be87cdcf66ebd3bdab0fe7e9138.jpg,http://en.wikipedia.org/wiki/Felix_Mendelssohn,0.603263,5269,classical christmas,romantic,classical,,,,,,,,,,0.651268,1494,0.39504932,135475,,ARMCO231187FB36036,Johannes Brahms,ARWSRGX1187B9A00B5,Franz Schubert,ARRUQPD11F4C83E2C0,Brahms
1840-1850,ARI28UN1187FB50184,Charles Gounod,"Paris, France",2.324382,48.864702,1839,1893,2463e7119936cf1d19e5c8eb7644fe3f0fa32237.jpg,http://www.charles-gounod.com/,0.602244,5354,romantic,classical,baroque,,,,,,,,,,0.485302,12983,0.512078799,8316,,AR7VQRW1187B9ACADC,Jules Massenet,AR70VBM1187B9AE4CE,Leo Delibes,ARYNLM31187B9B1F18,Jacques Offenbach
1840-1850,ARDI1X71187B9AED85,Antonio Vivaldi,"Venice, Italy",12.3309,45.4389,1705,1741,fb801d7ead4904d83ae66fd2d49818ea8f116504.jpg,http://www.classical.net/music/composer/works/vivaldi/index.php,0.597985,5794,classical christmas,classical,baroque,romantic,,,,,,,,,0.684094,932,0.368457736,202694,,ARSPLZD11F4C83BC8C,Franz Joseph Haydn,ARBWC0V1187FB5B450,Georg Friedrich Händel,ARANBBZ11F50C4AABA,Albinoni
1850-1860,ARWCAKO1187FB38932,Wolfgang Amadeus Mozart,"Salzburg, Salzburg, AT",13.0477,47.7972,1764,1791,2e7d4f7373412a29da4fa6ae4732396168662f9f.jpg,http://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,0.690829,1759,classical christmas,classical,romantic,classical period,,,,,,,,,0.726453,471,0.390536267,147774,,AR005TP1187B9B9A20,Amadeus Mozart,ARVFIOO1187FB39078,Johann Sebastian Bach,ARIGDQZ1187FB44FAB,Ludwig van Beethoven
1850-1860,AR5V9Y81187FB57DBA,Frederic Chopin,"Zelazowa Wola, Masovian, PL",103.7563,1.4764,1817,1849,0d17d03be762777bab45a3fdd9e9104ef9ad16cc.jpg,http://www.myspace.com/frederic_chopin,0.653217,2627,classical,romantic,classical christmas,,,,,,,,,,0.701149,724,0.389218055,151317,,ARSHZHP11F33DFFFFA,Chopin,ARPSAX91187B9940E1,Edvard Grieg,ARIGDQZ1187FB44FAB,Ludwig van Beethoven
