source,target,target,target,target,genre,imageurl,id
Henry Purcell,Purcell,Alessandro Scarlatti,Georg Philipp Telemann,baroque,baroque,1c39bc552b967af69066ca62242ba5f79857f36f.jpg,ARJ14TA1187B9B4CF9
Janet Jackson,Destiny's Child,Mariah Carey,Toni Braxton,urban contemporary,urban contemporary,5546c6243c4842c27ba2170288961c9b9bf4bc55.jpg,ART4QZC1187FB51612
Johann Pachelbel,Georg Philipp Telemann,Antonio Vivaldi,Franz Joseph Haydn,classical christmas,classical christmas,27e8994ea4dbea61f8e07835fc362e73553e52ec.jpg,AR86HR51187FB5BECF
Johann Strauss II,John Strauss,Johann Strauss,Johann Strauss I,romantic,romantic,13df907452086739d886713fa2005c8ec03ee340.jpg,ARVGS9B1187FB3D520
Johnny Cash,Merle Haggard,Willie Nelson,The Highwaymen,traditional country,traditional country,63e350b46a04447ea63400959d808360559da740.jpg,ARH861H1187B9B799E
Justin Bieber,Cody Simpson,Jason Derülo,Demi Lovato,teen pop,teen pop,ce41eb4beaad8d07fd55a68aba16b27e341a2e4f.jpg,ARFCWSZ123526A0AFD
Kishore Kumar,Kishore,Lata Mangeshkar,Mohammed Rafi,filmi,filmi,a27ed028a91a9502c0607d2dfd77849a0acf26f6.jpg,ARPF30C1187FB3EDF8
Kygo,Gorgon City,Lost Frequencies,Kaskade,deep melodic house,deep melodic house,e83cf41641d9ffec6ad0798aa21b6d9592c862dc.jpg,ARTZYQN13EEEF973E7
Lata Mangeshkar,Mukesh & Lata Mangeshkar,Manna Dey,Mohammed Rafi,filmi,filmi,c2cdf99f4982211e2a17742f730e84d801922635.jpg,ARBVKHX1187FB42704
Led Zeppelin,Deep Purple,Aerosmith,Thin Lizzy,rock,rock,f0959931aeb8aa174ef264d0b1ab7dd99cd22c03.jpg,ARDIBRT1187B9AF176
London Philharmonic Orchestra,Philharmonia Orchestra,Howard Blake,Tasmanian Symphony Orchestra,classical christmas,classical christmas,62ca02f925f680a9b611b49556f54d8090a28a8e.jpg,ARKBH7U1187B9AC392
London Symphony Orchestra,Royal Philharmonic Orchestra,Berlin Philharmonic,Berliner Philharmoniker,minimal,minimal,e942c74e74a5cd145ff9365aa05be33f1581a694.jpg,ARB4A7P1187FB57487
Louis Armstrong,Louis Armstrong And His Orchestra,King Oliver,Bix Beiderbecke,new orleans jazz,new orleans jazz,187487992eee93ac0b73456f4d3295e6ea370c68.jpg,ARB1DDF1187FB4FCFB
Luigi Boccherini,Bocherini,Tomaso Giovanni Albinoni,Arcangelo Corelli,baroque,baroque,9577580a40b7188dd61e8d7073f5fe09c324dfed.jpg,AROO8NE1187FB49630
Madcon,Karpe Diem,Timbaland,Flo Rida,norwegian hip hop,norwegian hip hop,3a5dbef86eac139e72a4f29aaf8761c5447b29a4.jpg,ARNOG4Q1187B9A5A62
Madonna,Kylie Minogue,Cher,Gwen Stefani,europop,europop,6fe4d999bcd666990dab0cc614eb3efbaa8c2294.jpg,ARBEOHF1187B9B044D
Major Lazer,Diplo,Buraka Som Sistema,Santigold,moombahton,moombahton,59d9dc51f2c0dd46fd352447eaad34ad6bfdf595.jpg,ARLGOUD12298900ACE
Maná,Los Enanitos Verdes,Bacilos,Elefante,latin,latin,8926f1d7cbaa1f690ff3aea3b7324a06a0fa530a.jpg,ARX2F7M1187B9A5563
Maroon 5,OneRepublic,Kara's Flowers,The Script,pop rock,pop rock,8f0dff5ee60b84b06f8395b1847ebe723cc8cc97.jpg,ARF5M7Q1187FB501E8
Marvin Gaye,The Temptations,Smokey Robinson,The Temptations Review,soul,soul,9615b471ae7971293fa3bda6c825751d07628dc1.jpg,ARVNNXD1187B9AE50D
Michael Jackson,The Jacksons,Jermaine Jackson,Babyface,dance pop,dance pop,06e195eaaa853b397ccaa971edaa25554dba3c05.jpg,ARXPPEY1187FB51DF4
Miles Davis,Miles Davis Quintet,Miles Davis Quartet,Miles Davis Nonet,jazz,jazz,87321e29d600e4f09ba669cafddc71c532d93e1b.jpg,AR7RTGF1187FB38793
